osmid,y,x,street_count,highway,geometry
1044362965,23.1692235,-82.2231556,4,,POINT (-82.2231556 23.1692235)
1044362969,23.1667191,-82.2202747,1,,POINT (-82.2202747 23.1667191)
1044362980,23.1693385,-82.2180315,1,,POINT (-82.2180315 23.1693385)
1044363092,23.1684598,-82.2228587,3,,POINT (-82.2228587 23.1684598)
1044379601,23.0944636,-82.1888452,1,,POINT (-82.1888452 23.0944636)
1044379613,23.0952947,-82.1871912,4,,POINT (-82.1871912 23.0952947)
1060568335,23.0697065,-82.3637396,4,,POINT (-82.3637396 23.0697065)
1060568347,23.0693029,-82.3640581,4,,POINT (-82.36405809999999 23.0693029)
1060577664,23.0630104,-82.3689713,4,,POINT (-82.3689713 23.0630104)
1060577667,23.0633688,-82.3705858,3,,POINT (-82.3705858 23.0633688)
1060577669,23.0632483,-82.370043,4,,POINT (-82.370043 23.0632483)
1060577671,23.0631286,-82.3695039,4,,POINT (-82.3695039 23.0631286)
1206452814,23.0982922,-82.3890584,5,traffic_signals,POINT (-82.3890584 23.0982922)
1206491339,23.0018364,-82.3875761,3,,POINT (-82.3875761 23.0018364)
1206491359,23.0025301,-82.3833911,4,,POINT (-82.3833911 23.0025301)
1206491585,22.9969489,-82.3851963,4,,POINT (-82.3851963 22.9969489)
1206491627,22.9965611,-82.3858648,4,,POINT (-82.38586479999999 22.9965611)
1206491634,22.9959436,-82.3854656,4,,POINT (-82.3854656 22.9959436)
1206491717,22.996063,-82.3845895,3,,POINT (-82.3845895 22.996063)
1206491725,22.9968257,-82.3832137,4,,POINT (-82.3832137 22.9968257)
1206491733,22.9972567,-82.3824827,3,,POINT (-82.3824827 22.9972567)
1206491846,22.9977337,-82.383818,4,,POINT (-82.38381800000001 22.9977337)
1206491847,22.9981569,-82.3830966,3,,POINT (-82.3830966 22.9981569)
1206491859,22.9986076,-82.3834191,3,,POINT (-82.3834191 22.9986076)
1206491865,22.9990493,-82.3837266,3,,POINT (-82.3837266 22.9990493)
1206492054,22.9991983,-82.3876682,4,,POINT (-82.38766819999999 22.9991983)
1206492070,23.000846,-82.3849112,3,,POINT (-82.3849112 23.000846)
1206492262,23.001271,-82.385211,3,,POINT (-82.385211 23.001271)
1206492266,23.0017661,-82.385549,3,,POINT (-82.385549 23.0017661)
1206492308,23.0029996,-82.3845338,4,,POINT (-82.3845338 23.0029996)
1206492309,23.0040364,-82.3827415,3,,POINT (-82.38274149999999 23.0040364)
1206492312,23.0046076,-82.3806462,1,,POINT (-82.3806462 23.0046076)
1207805790,22.9994989,-82.3840322,3,,POINT (-82.38403219999999 22.9994989)
1207805792,22.9995414,-82.3850624,3,,POINT (-82.3850624 22.9995414)
1207805793,22.9999696,-82.3843369,3,,POINT (-82.38433689999999 22.9999696)
1207805801,23.0044793,-82.3831978,1,,POINT (-82.3831978 23.0044793)
1207805804,23.002996,-82.3853465,1,,POINT (-82.3853465 23.002996)
1214737140,22.9918591,-82.3935028,4,,POINT (-82.39350279999999 22.9918591)
1214737156,22.9899514,-82.3954034,3,,POINT (-82.39540340000001 22.9899514)
1214737170,22.9814651,-82.3947853,3,,POINT (-82.3947853 22.9814651)
1214737203,22.9723563,-82.3977592,3,,POINT (-82.3977592 22.9723563)
1214737210,22.9733193,-82.3982689,3,,POINT (-82.39826890000001 22.9733193)
1214737212,22.9738157,-82.3982635,1,,POINT (-82.3982635 22.9738157)
1214737229,22.9769297,-82.3982675,3,,POINT (-82.3982675 22.9769297)
1214737239,22.9801127,-82.399154,3,,POINT (-82.399154 22.9801127)
1214737344,22.9938747,-82.3895683,1,,POINT (-82.38956829999999 22.9938747)
1214737402,22.9855057,-82.3995832,3,,POINT (-82.3995832 22.9855057)
1214737411,22.9831648,-82.3999587,3,,POINT (-82.3999587 22.9831648)
1223074101,23.1003196,-82.384188,4,,POINT (-82.38418799999999 23.1003196)
1223074103,23.0993678,-82.3881583,3,,POINT (-82.3881583 23.0993678)
1223074106,23.1006804,-82.3873536,1,,POINT (-82.3873536 23.1006804)
1223074107,23.0979966,-82.3876138,4,,POINT (-82.3876138 23.0979966)
1223074117,23.0978777,-82.3869985,3,,POINT (-82.3869985 23.0978777)
1223074118,23.1010114,-82.3861578,1,,POINT (-82.38615780000001 23.1010114)
1223074119,23.0977651,-82.3864091,3,,POINT (-82.38640909999999 23.0977651)
1223074151,23.0991031,-82.3842733,3,,POINT (-82.3842733 23.0991031)
1223077498,23.0976494,-82.3858191,3,,POINT (-82.38581910000001 23.0976494)
1223077501,23.098932,-82.3834076,1,,POINT (-82.3834076 23.098932)
1223077502,23.1010819,-82.3832107,3,,POINT (-82.38321070000001 23.1010819)
1223077503,23.1027601,-82.3830568,4,,POINT (-82.38305680000001 23.1027601)
1223077571,23.1019829,-82.3840589,3,,POINT (-82.3840589 23.1019829)
1223077572,23.0991598,-82.3851062,4,,POINT (-82.3851062 23.0991598)
1223092509,23.0940802,-82.3794201,3,,POINT (-82.3794201 23.0940802)
1223092510,23.0940876,-82.3791412,3,,POINT (-82.37914120000001 23.0940876)
1223092518,23.0920373,-82.3791734,4,,POINT (-82.3791734 23.0920373)
1223092570,23.1029262,-82.3885899,4,traffic_signals,POINT (-82.3885899 23.1029262)
1223092581,23.099706,-82.3787716,4,,POINT (-82.37877159999999 23.099706)
1223094388,23.0944357,-82.3751844,4,,POINT (-82.37518439999999 23.0944357)
1223094391,23.0934478,-82.3753957,4,,POINT (-82.3753957 23.0934478)
1223094393,23.0932493,-82.3742996,4,,POINT (-82.3742996 23.0932493)
1223094396,23.0942374,-82.3740882,4,,POINT (-82.3740882 23.0942374)
1224636588,23.0887853,-82.3800084,4,,POINT (-82.38000839999999 23.0887853)
1224636590,23.0899356,-82.3801573,4,,POINT (-82.38015729999999 23.0899356)
1248984050,23.0977443,-82.4421379,3,,POINT (-82.44213790000001 23.0977443)
1248984076,23.1000554,-82.4466209,4,,POINT (-82.4466209 23.1000554)
1248984096,23.0978014,-82.4458936,4,,POINT (-82.44589360000001 23.0978014)
1248984097,23.097357,-82.4464048,3,,POINT (-82.4464048 23.097357)
1248984159,23.0825066,-82.4379818,3,,POINT (-82.4379818 23.0825066)
1248984164,23.0818514,-82.4372196,3,,POINT (-82.43721960000001 23.0818514)
1248984173,23.0822358,-82.4361584,1,,POINT (-82.4361584 23.0822358)
1276571290,23.0988296,-82.3608334,4,,POINT (-82.3608334 23.0988296)
1276571297,23.093516,-82.3638994,3,,POINT (-82.36389939999999 23.093516)
1276575002,23.0982893,-82.3649267,5,,POINT (-82.3649267 23.0982893)
1276575003,23.0953367,-82.3649057,3,,POINT (-82.36490569999999 23.0953367)
1276578826,23.099443,-82.3635898,3,,POINT (-82.3635898 23.099443)
1276578829,23.0998823,-82.3638648,1,,POINT (-82.3638648 23.0998823)
1276578844,23.099237,-82.3655176,3,,POINT (-82.3655176 23.099237)
1276578849,23.0979284,-82.3638214,3,,POINT (-82.36382140000001 23.0979284)
1276578858,23.0999868,-82.3647314,1,,POINT (-82.3647314 23.0999868)
1276578860,23.0982386,-82.3629126,3,,POINT (-82.3629126 23.0982386)
1315119971,23.1143203,-82.3962321,3,,POINT (-82.39623210000001 23.1143203)
1315119998,23.1139104,-82.3954133,3,,POINT (-82.3954133 23.1139104)
1315120026,23.1185203,-82.3955332,1,,POINT (-82.3955332 23.1185203)
